indicator	area_name	area_code	area_type	year	measure	lower_confidence_interval	upper_confidence_interval
Alcohol-related hospital admissions	Fife	S12000047	Council area	2018	677.73	651.1	705.17
Alcohol-related hospital admissions	Fife	S12000047	Council area	2019	702.48	675.43	730.33
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2010	1516.94	1482.99	1551.45
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2011	1398.35	1365.96	1431.3
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2012	1256.7	1225.96	1288
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2013	1249.22	1218.42	1280.59
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2014	1198.5	1168.29	1229.27
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2015	1238.55	1207.83	1269.84
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2016	1336.74	1305.13	1368.9
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2017	1219.28	1189.23	1249.88
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2018	1145.8	1116.85	1175.29
Alcohol-related hospital admissions	Glasgow City	S12000049	Council area	2019	1168.93	1139.97	1198.43
Alcohol-related hospital admissions	Highland	S12000017	Council area	2010	720.15	685.44	756.16
Alcohol-related hospital admissions	Highland	S12000017	Council area	2011	684.85	650.95	720.03
Alcohol-related hospital admissions	Highland	S12000017	Council area	2012	697.23	663.33	732.41
Alcohol-related hospital admissions	Highland	S12000017	Council area	2013	669.59	636.63	703.81
Alcohol-related hospital admissions	Highland	S12000017	Council area	2014	649.89	617.35	683.68
Alcohol-related hospital admissions	Highland	S12000017	Council area	2015	658.5	625.88	692.36
Alcohol-related hospital admissions	Highland	S12000017	Council area	2016	607.47	576.41	639.76
Alcohol-related hospital admissions	Highland	S12000017	Council area	2017	597.4	566.57	629.46
Alcohol-related hospital admissions	Highland	S12000017	Council area	2018	641.57	609.54	674.83
Alcohol-related hospital admissions	Highland	S12000017	Council area	2019	651.95	619.66	685.46
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2010	1191.2	1115.93	1270.16
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2011	1152.62	1078.96	1229.94
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2012	853.02	789.82	919.88
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2013	1022.72	952.79	1096.37
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2014	1074.98	1003.06	1150.63
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2015	1154.23	1079.36	1232.88
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2016	1001.86	932.51	1074.95
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2017	1038.23	967.54	1112.67
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2018	954.69	885.83	1027.42
Alcohol-related hospital admissions	Inverclyde	S12000018	Council area	2019	822.98	759.42	890.39
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2010	581.59	529.79	637.02
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2011	513.41	465.17	565.26
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2012	548.89	498.55	602.9
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2013	545.24	495.56	598.53
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2014	587.66	536.66	642.17
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2015	563.05	512.96	616.65
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2016	539.06	490.85	590.71
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2017	541.59	493.47	593.12
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2018	435.08	392.59	480.89
Alcohol-related hospital admissions	Midlothian	S12000019	Council area	2019	553.21	505.5	604.18
Alcohol-related hospital admissions	Moray	S12000020	Council area	2010	465.99	422.6	512.58
Alcohol-related hospital admissions	Moray	S12000020	Council area	2011	528.64	482.59	577.87
Alcohol-related hospital admissions	Moray	S12000020	Council area	2012	422.47	381.26	466.9
Alcohol-related hospital admissions	Moray	S12000020	Council area	2013	434.01	392.34	478.87
Alcohol-related hospital admissions	Moray	S12000020	Council area	2014	491.43	447.11	538.94
Alcohol-related hospital admissions	Moray	S12000020	Council area	2015	478.21	434.8	524.75
Alcohol-related hospital admissions	Moray	S12000020	Council area	2016	480.86	437.57	527.25
Alcohol-related hospital admissions	Moray	S12000020	Council area	2017	502.49	457.96	550.14
Alcohol-related hospital admissions	Moray	S12000020	Council area	2018	399.85	360.53	442.27
Alcohol-related hospital admissions	Moray	S12000020	Council area	2019	474.04	430.87	520.33
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2010	1046.58	928.75	1175.09
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2011	929.86	820.18	1049.96
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2012	804.23	703.11	915.66
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2013	871.41	765.08	988.2
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2014	618.13	529.55	717.11
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2015	710.2	614.46	816.39
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2016	805.85	702.58	919.79
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2017	705.15	607.99	813.12
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2018	995.51	878.75	1123.15
Alcohol-related hospital admissions	Na h-Eileanan Siar	S12000013	Council area	2019	903.28	791.88	1025.61
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2010	1119.74	1063.38	1178.28
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2011	1093.77	1038.26	1151.46
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2012	926.15	874.57	979.95
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2013	922.55	870.48	976.89
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2014	868.31	818.6	920.22
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2015	814.68	766.62	864.93
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2016	895.47	844.27	948.92
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2017	879.75	829.23	932.5
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2018	835.23	785.31	887.45
Alcohol-related hospital admissions	North Ayrshire	S12000021	Council area	2019	761.89	714.21	811.86
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2010	683.25	654.66	712.76
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2011	763.8	733.53	794.99
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2012	786.29	755.65	817.83
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2013	791.47	760.95	822.89
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2014	781.85	751.35	813.25
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2015	834.51	803.19	866.73
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2016	859.46	827.81	892.01
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2017	920.23	887.49	953.86
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2018	932.74	899.8	966.57
Alcohol-related hospital admissions	North Lanarkshire	S12000050	Council area	2019	982.36	948.76	1016.83
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2010	1740.73	1567.05	1928.27
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2011	1679.4	1509.52	1863.06
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2012	1540.15	1381.91	1711.45
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2013	1407.14	1255.97	1571.37
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2014	728.31	618.1	852.26
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2015	698.65	591.01	819.98
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2016	542.51	451.11	646.81
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2017	742.6	633.1	865.35
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2018	697.4	591.3	816.77
Alcohol-related hospital admissions	Orkney Islands	S12000023	Council area	2019	619.45	517.65	735.15
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2010	490.87	455.11	528.67
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2011	478.5	443.39	515.63
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2012	435.81	402.45	471.18
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2013	354.22	324.45	385.97
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2014	401.43	369.59	435.27
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2015	329.13	300.61	359.61
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2016	396.3	364.81	429.76
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2017	354.19	324.48	385.88
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2018	380.76	349.88	413.6
Alcohol-related hospital admissions	Perth & Kinross	S12000048	Council area	2019	414.86	382.75	448.91
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2010	929.85	883.97	977.47
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2011	960.9	914.24	1009.31
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2012	953.27	907.17	1001.09
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2013	1010.8	962.9	1060.44
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2014	968.52	921.87	1016.89
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2015	934.95	889.33	982.29
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2016	935.74	890.33	982.84
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2017	847.74	804.44	892.74
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2018	807.51	765.6	851.1
Alcohol-related hospital admissions	Renfrewshire	S12000038	Council area	2019	789.63	748.13	832.83
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2010	759.79	752.2	767.44
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2011	749.75	742.24	757.31
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2012	699.05	691.81	706.35
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2013	706.39	699.12	713.71
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2014	676.56	669.47	683.7
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2015	674.09	667.04	681.2
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2016	685.36	678.28	692.5
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2017	669.17	662.19	676.21
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2018	669.33	662.37	676.35
Alcohol-related hospital admissions	Scotland	S00000001	Scotland	2019	673.27	666.3	680.28
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2010	543.17	499.76	589.27
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2011	624.52	578	673.73
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2012	556.8	512.67	603.63
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2013	567.27	522.78	614.46
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2014	459.31	419.65	501.62
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2015	444.58	405.25	486.62
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2016	450.26	410.84	492.36
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2017	408.24	371.21	447.9
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2018	449.45	410.82	490.65
Alcohol-related hospital admissions	Scottish Borders	S12000026	Council area	2019	491.46	451.65	533.76
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2010	721.69	614.22	842.39
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2011	956.91	834.41	1092.21
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2012	716.2	610.58	834.71
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2013	683.17	581.19	797.82
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2014	575.97	482.47	682.24
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2015	672.73	570.36	788.08
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2016	604.45	507.89	713.93
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2017	631.09	534	740.66
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2018	618.37	520.59	729.09
Alcohol-related hospital admissions	Shetland Islands	S12000027	Council area	2019	486.65	399.65	586.84
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2010	914.28	858.29	972.93
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2011	875.58	820.93	932.87
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2012	795.04	743.05	849.66
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2013	772.81	720.78	827.55
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2014	717.24	667.64	769.51
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2015	696.95	647.96	748.6
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2016	705.36	656.23	757.13
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2017	749.8	698.48	803.83
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2018	737.92	687.49	790.99
Alcohol-related hospital admissions	South Ayrshire	S12000028	Council area	2019	687.92	639.33	739.14
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2010	561.25	534.84	588.62
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2011	677.84	648.81	707.82
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2012	620.6	592.83	649.32
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2013	712.46	682.66	743.21
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2014	673.29	644.46	703.08
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2015	692.7	663.53	722.81
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2016	706.03	676.76	736.23
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2017	699.4	670.34	729.38
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2018	766.59	736.19	797.92
Alcohol-related hospital admissions	South Lanarkshire	S12000029	Council area	2019	747.14	717.25	777.96
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2010	455.13	410.43	503.33
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2011	490.43	443.85	540.52
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2012	410.02	368.18	455.25
