,Lg,Sex,Area,Month,Year,Mature
350,77,M,ECH,6,2013,0
351,87,M,ECH,6,2013,1
352,88,M,ECH,6,2013,1
353,87,M,ECH,6,2013,1
354,84,F,ECH,6,2013,0
355,91,F,ECH,6,2013,1
356,95,F,ECH,6,2013,1
357,96,F,ECH,6,2013,1
358,96,F,ECH,6,2013,1
359,98,F,ECH,6,2013,1
360,85,M,ECH,6,2013,0
361,87,M,ECH,6,2013,1
362,87,M,ECH,6,2013,1
363,88,M,ECH,6,2013,1
364,85,M,ECH,6,2013,1
365,74,M,ECH,6,2013,0
366,78,M,ECH,6,2013,1
367,85,M,ECH,6,2013,1
369,81,F,ATL,6,2013,0
370,87,F,ATL,6,2013,1
371,92,F,ATL,6,2013,1
372,93,F,ATL,6,2013,1
373,80,M,ATL,6,2013,1
374,87,M,ATL,6,2013,1
375,86,M,ATL,6,2013,1
376,79,M,ATL,6,2013,1
377,77,M,ATL,6,2013,0
378,78,M,ATL,6,2013,0
379,80,M,ATL,6,2013,0
380,85,M,ATL,6,2013,1
381,85,M,ATL,6,2013,1
383,87,M,ATL,6,2013,1
384,88,M,ATL,6,2013,1
385,83,M,ATL,6,2013,1
386,85,M,ATL,6,2013,1
387,80,M,ATL,6,2013,0
388,83,M,ATL,6,2013,1
389,77,M,ATL,6,2013,0
390,90,M,ATL,6,2013,1
391,81,M,ATL,6,2013,1
392,89,M,ATL,6,2013,1
393,83,M,ATL,6,2013,1
396,83,M,ATL,6,2013,1
397,85,M,ATL,6,2013,1
398,76,M,ATL,6,2013,0
399,84,M,ATL,6,2013,1
400,82,M,ATL,6,2013,1
401,81,M,ATL,6,2013,0
406,76,M,ATL,6,2013,1
407,77,M,ATL,6,2013,0
408,85,M,ATL,6,2013,1
411,88,M,ATL,6,2013,1
414,78,M,ECH,6,2013,1
415,78,M,ECH,6,2013,0
416,79,M,ECH,6,2013,0
417,83,M,ECH,6,2013,1
418,83,M,ECH,6,2013,1
419,80,M,ECH,6,2013,0
420,89,M,ECH,6,2013,1
421,82,M,ECH,6,2013,1
422,81,M,ECH,6,2013,0
423,86,M,ECH,6,2013,1
425,87,M,ECH,6,2013,1
428,75,F,ECH,6,2013,0
429,81,F,ECH,6,2013,1
430,83,F,ECH,6,2013,0
431,94,F,ECH,6,2013,1
432,95,F,ECH,6,2013,1
433,97,F,ECH,6,2013,1
434,97,F,ECH,6,2013,1
435,88,M,ECH,6,2013,1
436,80,M,ECH,6,2013,0
438,82,M,ECH,6,2013,1
439,95,M,ECH,6,2013,1
440,80,M,ECH,6,2013,1
441,91,M,ECH,6,2013,1
442,87,M,ECH,6,2013,1
443,85,M,ECH,6,2013,1
444,85,M,ECH,6,2013,1
445,83,M,ECH,6,2013,0
446,82,M,ECH,6,2013,1
447,81,M,ECH,6,2013,1
448,89,M,ECH,6,2013,1
449,84,M,ECH,6,2013,1
450,90,M,ECH,6,2013,1
451,90,M,ECH,6,2013,1
452,87,M,ECH,6,2013,1
453,82,M,ECH,6,2013,1
454,86,M,ECH,6,2013,1
455,77,M,ECH,6,2013,1
456,85,M,ECH,6,2013,1
457,89,M,ECH,6,2013,1
458,84,M,ECH,6,2013,1
459,86,M,ECH,6,2013,1
460,83,M,ECH,6,2013,0
461,86,M,ECH,6,2013,1
462,79,M,ECH,6,2013,1
463,85,M,ECH,6,2013,1
464,77,M,ECH,6,2013,0
465,89,M,ECH,6,2013,1
466,82,M,ECH,6,2013,1
467,82,M,ECH,6,2013,1
468,75,M,ECH,6,2013,0
469,86,M,ECH,6,2013,1
470,86,M,ECH,6,2013,1
471,82,M,ECH,6,2013,0
472,78,M,ECH,6,2013,0
473,87,M,ECH,6,2013,1
474,87,M,ECH,6,2013,1
475,93,M,ECH,6,2013,1
476,89,M,ECH,6,2013,1
477,85,M,ECH,6,2013,1
478,87,M,ECH,6,2013,1
479,83,M,ECH,6,2013,1
480,84,M,ECH,6,2013,0
481,87,M,ECH,6,2013,1
482,81,M,ECH,7,2013,1
483,82,M,ECH,7,2013,1
484,87,M,ECH,7,2013,1
485,81,M,ECH,7,2013,0
486,84,M,ECH,7,2013,1
487,85,M,ECH,7,2013,1
488,78,M,ECH,7,2013,1
489,96,F,ECH,7,2013,1
490,87,M,ECH,7,2013,1
491,81,M,ECH,7,2013,1
492,81,M,ECH,7,2013,1
493,83,M,ECH,7,2013,0
494,80,M,ECH,7,2013,0
495,89,M,ECH,7,2013,1
496,97,F,ECH,7,2013,1
497,98,F,ECH,7,2013,1
498,85,M,ECH,7,2013,1
499,84,M,ECH,7,2013,1
500,79,M,ECH,7,2013,0
501,91,M,ECH,7,2013,1
502,80,M,ECH,7,2013,0
503,86,M,ECH,7,2013,1
505,90,M,ECH,7,2013,1
506,97,F,ECH,7,2013,1
507,76,M,ECH,7,2013,1
508,82,M,ECH,7,2013,1
509,81,M,ECH,7,2013,0
510,87,M,ECH,7,2013,1
511,85,M,ECH,7,2013,1
512,75,M,ECH,7,2013,0
513,77,M,ECH,7,2013,0
515,89,F,ECH,8,2013,1
516,96,F,ECH,8,2013,1
517,80,M,ECH,8,2013,1
518,79,M,ECH,8,2013,0
519,83,M,ECH,8,2013,1
520,81,M,ECH,8,2013,1
521,81,M,ECH,8,2013,0
522,81,M,ECH,8,2013,1
523,87,M,ECH,8,2013,1
524,90,M,ECH,8,2013,1
525,87,M,ECH,8,2013,1
526,86,M,ECH,8,2013,1
527,79,M,ECH,8,2013,1
528,78,M,ECH,8,2013,0
529,84,M,ECH,8,2013,1
531,79,M,ECH,8,2013,1
532,81,M,ECH,8,2013,1
533,85,M,ECH,8,2013,1
534,81,M,ECH,8,2013,1
536,84,M,ECH,8,2013,1
537,88,M,ECH,8,2013,1
538,85,M,ECH,8,2013,1
540,78,M,ECH,8,2013,1
541,74,M,ECH,8,2013,0
542,84,M,ECH,8,2013,1
543,85,M,ECH,8,2013,1
544,87,M,ECH,8,2013,1
545,81,M,ECH,8,2013,1
546,88,M,ECH,8,2013,1
549,80,M,ATL,8,2013,1
550,83,M,ATL,8,2013,1
551,87,M,ATL,8,2013,1
552,81,M,ATL,8,2013,1
553,86,M,ATL,8,2013,1
555,79,M,ATL,8,2013,0
557,74,M,ATL,8,2013,0
558,75,M,ATL,8,2013,0
621,76,F,ECH,8,2013,0
622,80,F,ECH,8,2013,0
623,81,F,ECH,8,2013,0
624,82,F,ECH,8,2013,1
625,82,F,ECH,8,2013,0
626,82,F,ECH,8,2013,0
627,83,F,ECH,8,2013,1
628,83,F,ECH,8,2013,0
629,85,F,ECH,8,2013,1
630,86,F,ECH,8,2013,1
631,87,F,ECH,8,2013,1
632,94,F,ECH,8,2013,1
633,95,F,ECH,8,2013,1
634,95,F,ECH,8,2013,1
635,97,F,ECH,8,2013,1
636,77,M,ECH,8,2013,0
637,87,M,ECH,8,2013,1
638,79,M,ECH,8,2013,0
639,81,M,ECH,8,2013,1
640,82,M,ECH,8,2013,1
641,88,M,ECH,8,2013,1
642,83,M,ECH,8,2013,1
643,84,M,ECH,8,2013,1
644,85,M,ECH,8,2013,1
645,83,M,ECH,8,2013,1
646,84,M,ECH,8,2013,1
648,88,M,ECH,8,2013,1
649,83,M,ECH,8,2013,1
650,84,M,ECH,8,2013,1
651,82,M,ECH,8,2013,1
652,86,M,ECH,8,2013,1
653,86,M,ECH,8,2013,1
654,80,M,ECH,8,2013,0
655,87,M,ECH,8,2013,1
656,84,M,ECH,8,2013,1
657,82,M,ECH,8,2013,1
658,81,M,ECH,8,2013,1
659,84,M,ECH,8,2013,1
660,78,M,ECH,8,2013,1
661,86,M,ECH,8,2013,1
662,84,M,ECH,8,2013,1
663,85,M,ECH,8,2013,1
664,82,M,ECH,8,2013,1
665,85,M,ECH,8,2013,1
666,92,M,ECH,8,2013,1
667,89,M,ECH,8,2013,1
668,89,M,ECH,8,2013,1
669,82,M,ECH,8,2013,1
670,78,M,ECH,8,2013,1
672,81,F,ECH,8,2013,0
673,80,M,ECH,8,2013,0
674,85,M,ECH,8,2013,1
675,83,M,ECH,8,2013,1
676,87,M,ECH,8,2013,1
677,79,M,ECH,8,2013,1
678,87,M,ECH,8,2013,1
679,80,M,ECH,8,2013,0
680,88,M,ECH,8,2013,1
681,93,M,ECH,8,2013,1
682,76,M,ECH,8,2013,0
684,85,M,ECH,8,2013,1
685,82,M,ECH,8,2013,1
686,90,M,ECH,8,2013,1
688,77,M,ECH,8,2013,1
689,91,M,ECH,8,2013,1
690,91,M,ECH,8,2013,1
691,88,M,ECH,8,2013,1
692,90,M,ECH,8,2013,1
693,81,M,ECH,8,2013,1
694,81,M,ECH,8,2013,1
696,94,F,ECH,9,2013,1
697,90,M,ECH,9,2013,1
698,88,M,ECH,9,2013,1
699,80,M,ECH,9,2013,1
700,94,M,ECH,9,2013,1
701,82,F,ECH,9,2013,0
702,96,F,ECH,9,2013,1
703,98,F,ECH,9,2013,1
704,100,F,ECH,9,2013,1
705,82,M,ECH,9,2013,0
706,85,M,ECH,9,2013,1
707,80,M,ECH,9,2013,1
710,103,F,ECH,9,2013,1
711,89,M,ECH,9,2013,1
712,88,M,ECH,9,2013,1
713,92,M,ECH,9,2013,1
714,93,M,ECH,9,2013,1
715,84,M,ECH,9,2013,1
716,84,M,ECH,9,2013,1
717,91,M,ECH,9,2013,1
1123,87,M,ATL,4,2014,1
1125,84,M,ATL,4,2014,1
1128,83,M,ATL,4,2014,0
1130,80,M,ATL,4,2014,0
1131,88,M,ATL,4,2014,1
1132,84,M,ATL,4,2014,1
1133,79,M,ATL,4,2014,0
1137,82,F,ATL,4,2014,0
1138,86,M,ATL,4,2014,1
1139,89,M,ECH,4,2014,1
1140,91,M,ECH,4,2014,1
1141,86,M,ECH,4,2014,0
1142,89,M,ECH,4,2014,1
1143,83,M,ECH,4,2014,0
1144,93,M,ECH,4,2014,1
1146,90,M,ECH,4,2014,1
1147,88,M,ECH,4,2014,1
1148,97,M,ECH,4,2014,1
1149,81,M,ECH,4,2014,0
1152,96,F,ECH,4,2014,1
1153,96,F,ECH,4,2014,1
1154,103,F,ECH,4,2014,1
1155,97,M,ECH,4,2014,1
1156,82,M,ECH,4,2014,1
1157,89,M,ECH,4,2014,1
1158,87,M,ECH,4,2014,0
1159,77,M,ECH,4,2014,0
1160,84,M,ECH,4,2014,1
1161,83,M,ECH,4,2014,1
1162,94,M,ECH,4,2014,1
1163,79,M,ECH,4,2014,1
1164,87,M,ECH,4,2014,1
1165,81,M,ECH,4,2014,0
1166,89,M,ECH,4,2014,1
1167,95,M,ECH,4,2014,1
1168,91,M,ECH,4,2014,1
1169,91,M,ECH,4,2014,1
1171,95,F,ECH,4,2014,1
1172,97,F,ECH,4,2014,1
1173,79,M,ATL,4,2014,0
1174,86,M,ATL,4,2014,1
1175,79,M,ATL,4,2014,0
1178,79,M,ATL,4,2014,0
1180,81,M,ATL,4,2014,0
1181,81,M,ATL,4,2014,1
1182,82,M,ATL,4,2014,0
1183,75,M,ATL,4,2014,0
1184,86,M,ATL,4,2014,1
1185,92,M,ATL,4,2014,1
1186,85,M,ATL,4,2014,0
1187,81,M,ATL,4,2014,0
1189,82,M,ATL,4,2014,0
1190,86,M,ATL,4,2014,0
1191,80,M,ATL,4,2014,0
1192,80,M,ATL,4,2014,0
1193,89,M,ATL,4,2014,1
1194,88,M,ATL,4,2014,1
1195,79,M,ATL,4,2014,1
1196,78,M,ATL,4,2014,1
1197,74,M,ATL,4,2014,0
1198,82,M,ATL,4,2014,1
1199,84,M,ATL,4,2014,1
1200,83,M,ATL,4,2014,1
1201,84,M,ATL,4,2014,1
1202,88,M,ATL,4,2014,1
1203,80,M,ATL,4,2014,0
1204,80,M,ATL,4,2014,1
1205,78,M,ATL,4,2014,0
1206,79,M,ATL,4,2014,1
1207,82,M,ATL,4,2014,1
1208,84,M,ATL,4,2014,1
1209,75,M,ATL,4,2014,0
1210,78,M,ATL,4,2014,1
1211,83,M,ATL,4,2014,1
1212,84,M,ATL,4,2014,0
1213,85,M,ATL,4,2014,1
1214,86,M,ATL,4,2014,1
1216,85,M,ATL,4,2014,1
1217,84,M,ATL,4,2014,0
1218,83,M,ATL,4,2014,0
1219,87,M,ATL,4,2014,1
1221,81,M,ATL,4,2014,0
1222,87,M,ATL,4,2014,1
1223,84,M,ATL,4,2014,1
1224,78,M,ATL,4,2014,0
1225,74,M,ATL,4,2014,0
1232,75,F,ATL,4,2014,0
1233,77,F,ATL,4,2014,0
1234,77,F,ATL,4,2014,0
1235,77,F,ATL,4,2014,0
1236,77,F,ATL,4,2014,0
1237,79,F,ATL,4,2014,0
1238,79,F,ATL,4,2014,0
1239,80,F,ATL,4,2014,0
1240,80,F,ATL,4,2014,0
1241,84,F,ATL,4,2014,0
1242,84,F,ATL,4,2014,0
1243,85,F,ATL,4,2014,1
1244,85,F,ATL,4,2014,0
1245,86,F,ATL,4,2014,0
1246,92,F,ATL,4,2014,1
1247,94,F,ATL,4,2014,1
1248,97,F,ATL,4,2014,1
1249,87,M,ATL,4,2014,1
1250,77,M,ATL,4,2014,0
1251,79,M,ATL,4,2014,1
1252,86,M,ATL,4,2014,1
1253,84,M,ATL,4,2014,1
1254,81,M,ATL,4,2014,0
1255,89,M,ATL,4,2014,1
1256,86,M,ATL,4,2014,1
1257,85,M,ATL,4,2014,1
1258,81,M,ATL,4,2014,0
1259,83,M,ATL,4,2014,1
1260,79,M,ATL,4,2014,1
1261,75,M,ATL,4,2014,0
1262,83,M,ATL,4,2014,1
1263,89,M,ATL,4,2014,1
1264,88,M,ATL,4,2014,1
1265,87,M,ATL,4,2014,1
1266,84,M,ATL,4,2014,1
1267,83,M,ATL,4,2014,1
1268,78,M,ATL,4,2014,1
1269,77,M,ATL,4,2014,0
1270,75,M,ATL,4,2014,0
1271,82,M,ATL,4,2014,1
1272,85,M,ATL,4,2014,1
1273,86,M,ATL,4,2014,1
1274,82,M,ATL,4,2014,1
1275,74,M,ATL,4,2014,0
1276,84,M,ATL,4,2014,1
1277,84,M,ATL,4,2014,1
1278,82,M,ATL,4,2014,0
1279,81,M,ATL,4,2014,1
1280,86,M,ATL,4,2014,1
1281,87,M,ATL,4,2014,1
1282,84,M,ATL,4,2014,1
1283,89,M,ATL,4,2014,1
1284,81,M,ATL,4,2014,1
1285,83,M,ATL,4,2014,0
1286,84,M,ATL,4,2014,0
1287,80,M,ATL,4,2014,0
1288,83,M,ATL,4,2014,0
1289,85,M,ATL,4,2014,1
1290,77,M,ATL,4,2014,0
1291,88,M,ATL,4,2014,1
1292,84,M,ATL,4,2014,1
1298,81,M,ECH,5,2014,0
1299,83,M,ECH,5,2014,0
1300,78,M,ECH,5,2014,1
1301,83,M,ECH,5,2014,1
1302,79,M,ECH,5,2014,1
1303,83,M,ECH,5,2014,0
1304,83,M,ECH,5,2014,1
1305,89,M,ECH,5,2014,1
1306,89,M,ECH,5,2014,1
1307,78,M,ECH,5,2014,0
1308,76,M,ECH,5,2014,0
1309,87,M,ECH,5,2014,1
1310,91,M,ECH,5,2014,1
1311,79,M,ECH,5,2014,1
1312,87,M,ECH,5,2014,1
1313,82,M,ECH,5,2014,0
1314,81,M,ECH,5,2014,1
1315,84,M,ECH,5,2014,1
1316,85,M,ECH,5,2014,1
1317,76,M,ECH,5,2014,1
1318,86,M,ECH,5,2014,1
1319,81,M,ECH,5,2014,0
1320,83,M,ECH,5,2014,1
1321,84,M,ECH,5,2014,1
1322,84,M,ECH,5,2014,0
1323,89,M,ECH,5,2014,1
1324,90,M,ECH,5,2014,1
1325,85,M,ECH,5,2014,0
1326,87,M,ECH,5,2014,1
1327,86,M,ECH,5,2014,1
1328,84,M,ECH,5,2014,0
1329,79,M,ECH,5,2014,1
1330,82,M,ECH,5,2014,1
1331,93,M,ECH,5,2014,1
1332,90,M,ECH,5,2014,1
1333,76,M,ECH,5,2014,0
1334,90,M,ECH,5,2014,1
1335,86,M,ECH,5,2014,1
1336,82,M,ECH,5,2014,1
1337,74,M,ECH,5,2014,0
1338,87,M,ECH,5,2014,1
1339,76,M,ECH,5,2014,0
1340,85,M,ECH,5,2014,1
1341,90,M,ECH,5,2014,1
1342,81,M,ECH,5,2014,0
1343,86,M,ECH,5,2014,1
1344,85,M,ECH,5,2014,1
1345,87,M,ECH,5,2014,1
1346,76,M,ECH,5,2014,0
1347,89,M,ECH,5,2014,1
1348,85,M,ECH,5,2014,0
1349,88,M,ECH,5,2014,1
1350,92,M,ECH,5,2014,1
1352,89,M,ECH,5,2014,1
1353,83,M,ECH,5,2014,1
1354,82,M,ECH,5,2014,1
1355,86,M,ECH,5,2014,1
1356,88,M,ECH,5,2014,1
1357,88,M,ECH,5,2014,0
1358,88,M,ECH,5,2014,1
1359,78,M,ECH,5,2014,0
1360,87,M,ECH,5,2014,1
1361,85,M,ECH,5,2014,1
1363,74,F,ECH,5,2014,0
1364,74,F,ECH,5,2014,0
1365,75,F,ECH,5,2014,0
1366,79,F,ECH,5,2014,0
1367,79,F,ECH,5,2014,1
1368,80,F,ECH,5,2014,0
1369,81,F,ECH,5,2014,0
1370,86,F,ECH,5,2014,1
1371,87,F,ECH,5,2014,0
1372,87,F,ECH,5,2014,1
1373,88,F,ECH,5,2014,0
1374,89,F,ECH,5,2014,1
1375,89,F,ECH,5,2014,1
1376,89,F,ECH,5,2014,1
1377,95,F,ECH,5,2014,1
1378,96,F,ECH,5,2014,1
1379,96,F,ECH,5,2014,1
1380,98,F,ECH,5,2014,1
1381,88,M,ECH,5,2014,1
1382,84,M,ECH,5,2014,1
1383,94,M,ECH,5,2014,1
1384,79,M,ECH,5,2014,1
1385,92,M,ECH,5,2014,1
1386,91,M,ECH,5,2014,1
1387,87,M,ECH,5,2014,1
1388,85,M,ECH,5,2014,1
1389,98,F,ECH,5,2014,1
1390,85,M,ECH,5,2014,0
1391,84,M,ECH,5,2014,1
1392,91,M,ECH,5,2014,1
1393,89,M,ECH,5,2014,1
1394,91,M,ECH,5,2014,1
1395,84,M,ECH,5,2014,1
1396,96,F,ECH,5,2014,1
1397,87,M,ECH,5,2014,1
1398,89,M,ECH,5,2014,1
1399,88,M,ECH,5,2014,1
1400,85,M,ECH,5,2014,0
1401,98,M,ECH,5,2014,1
1402,94,F,ECH,5,2014,1
1403,96,F,ECH,5,2014,1
1404,89,M,ECH,5,2014,1
1405,85,M,ECH,5,2014,1
1406,86,M,ECH,5,2014,1
1407,87,M,ECH,5,2014,1
1408,87,M,ECH,5,2014,1
1409,88,M,ECH,5,2014,1
1410,82,M,ECH,5,2014,0
1411,88,M,ECH,5,2014,0
1412,75,M,ECH,5,2014,1
1413,88,M,ECH,5,2014,1
1414,81,M,ECH,5,2014,1
1416,92,M,ECH,5,2014,1
1417,90,M,ECH,5,2014,1
1418,85,M,ECH,5,2014,1
1420,89,M,ECH,5,2014,1
1421,92,M,ECH,5,2014,1
1422,84,M,ECH,5,2014,1
1423,83,M,ECH,5,2014,1
1424,89,M,ECH,5,2014,0
1425,92,M,ECH,5,2014,1
1426,82,M,ECH,5,2014,1
1427,85,M,ECH,5,2014,1
1428,85,M,ECH,5,2014,1
1429,87,M,ECH,5,2014,1
1430,86,M,ECH,5,2014,1
1431,83,M,ECH,5,2014,1
1432,86,M,ECH,5,2014,1
1433,80,M,ECH,5,2014,0
1434,80,F,ECH,5,2014,0
1435,84,F,ECH,5,2014,1
1436,85,F,ECH,5,2014,0
1437,86,F,ECH,5,2014,1
1438,86,F,ECH,5,2014,1
1439,88,F,ECH,5,2014,1
1440,89,F,ECH,5,2014,1
1441,90,F,ECH,5,2014,1
1442,90,F,ECH,5,2014,1
1443,74,M,ECH,5,2014,0
1444,87,M,ECH,5,2014,1
1445,88,M,ECH,5,2014,1
1446,89,M,ECH,5,2014,1
1447,91,M,ECH,5,2014,1
1448,78,M,ECH,5,2014,0
1449,89,M,ECH,5,2014,0
1450,89,M,ECH,5,2014,1
1451,93,M,ECH,5,2014,1
1452,85,M,ECH,5,2014,1
1453,75,F,ECH,5,2014,0
1454,92,F,ECH,5,2014,1
1455,103,F,ECH,5,2014,1
1456,89,M,ECH,5,2014,1
1457,79,M,ECH,5,2014,0
1458,91,M,ECH,5,2014,1
1459,89,M,ECH,5,2014,1
1460,88,M,ECH,5,2014,1
1461,75,M,ECH,5,2014,0
1462,78,M,ECH,5,2014,1
1463,86,M,ECH,5,2014,1
1464,78,F,ECH,5,2014,0
1465,94,F,ECH,5,2014,1
1466,95,F,ECH,5,2014,1
1467,78,M,ECH,5,2014,0
1468,86,M,ECH,5,2014,1
1469,83,M,ECH,5,2014,0
1470,85,M,ECH,5,2014,1
1471,90,M,ECH,5,2014,1
1472,85,M,ECH,5,2014,1
1473,81,M,ECH,5,2014,0
1474,86,M,ECH,5,2014,0
1475,82,M,ECH,5,2014,1
1476,83,M,ECH,5,2014,0
1477,80,M,ECH,5,2014,0
1478,79,M,ECH,5,2014,1
1479,79,M,ECH,5,2014,0
1480,87,M,ECH,5,2014,1
1481,87,M,ECH,5,2014,1
1482,91,F,ECH,5,2014,1
1483,94,F,ECH,5,2014,1
1484,88,M,ECH,5,2014,1
1485,82,M,ECH,5,2014,1
1486,81,M,ECH,5,2014,1
1487,84,M,ECH,5,2014,1
1489,79,M,ECH,5,2014,0
1490,86,M,ECH,5,2014,0
1491,77,M,ECH,5,2014,0
1493,87,M,ECH,6,2014,1
1494,84,M,ECH,6,2014,1
1495,84,M,ECH,6,2014,1
1496,74,M,ECH,6,2014,0
1497,99,F,ECH,6,2014,1
1498,82,M,ECH,6,2014,1
1499,82,M,ECH,6,2014,1
1500,82,M,ECH,6,2014,0
1501,90,M,ECH,6,2014,0
1502,91,F,ECH,6,2014,1
1503,94,F,ECH,6,2014,1
1504,96,F,ECH,6,2014,1
1505,98,F,ECH,6,2014,1
1506,94,M,ECH,6,2014,1
1507,87,M,ECH,6,2014,1
1508,82,M,ECH,6,2014,1
